id,category,problem,solution
0,percentage,Increase 109 by 25%,136.25
1,arithmetic,What is 76 + 55?,131.0
2,word_problems,Sarah has $286. She spends $128. How much money does she have left?,158.0
3,geometry,What is the circumference of a circle with radius 14? (use π ≈ 3.14),87.92
4,geometry,What is the volume of a cube with side length 3?,27.0
5,percentage,What is 7% of 132?,9.24
6,word_problems,John is 10 years old now. How old was he 15 years ago?,-5.0
7,fractions,What is 1/5 + 2/5? (decimal form),0.6
8,percentage,What is 27% of 164?,44.28
9,fractions,What is 2/4 + 1/4? (decimal form),0.75
10,arithmetic,Calculate 46 + 28 - 10,64.0
11,word_problems,Sarah has $344. She spends $134. How much money does she have left?,210.0
12,fractions,What is 3/10 × 4? (decimal form),1.2
13,arithmetic,What is (21 + 14) × 9?,315.0
14,algebra,Solve for x: 9x + 13 = 103,10.0
15,fractions,What is 1/2 × 8? (decimal form),4.0
16,arithmetic,Divide 168 by 6,28.0
17,geometry,What is the area of a rectangle with width 26 and height 13?,338.0
18,fractions,What is 2/3 + 1/3? (decimal form),1.0
19,word_problems,Sarah has $89. She spends $48. How much money does she have left?,41.0
20,algebra,Find the positive value of x where x² = 169,13.0
21,word_problems,A car travels at 77 km/h for 3 hours. What distance does it cover?,231.0
22,fractions,What is 9/10 of 180?,162.0
23,geometry,What is the area of a triangle with base 33 and height 30?,495.0
24,fractions,What is 1/2 × 3? (decimal form),1.5
25,geometry,What is the volume of a cube with side length 5?,125.0
26,algebra,"If x + y = 6 and x - y = -2, what is x?",2.0
27,fractions,What is 21/10 - 15/10? (decimal form),0.6
28,arithmetic,Calculate 57 - 70,-13.0
29,word_problems,John is 16 years old now. How old was he 12 years ago?,4.0
30,algebra,"If x + y = 17 and x - y = 1, what is x?",9.0
31,fractions,What is 1/4 of 86?,21.5
32,arithmetic,What is 75 × 71?,5325.0
33,word_problems,Sarah has $104. She spends $11. How much money does she have left?,93.0
34,geometry,What is the area of a rectangle with width 15 and height 4?,60.0
35,word_problems,A car travels at 49 km/h for 2 hours. What distance does it cover?,98.0
36,algebra,Find the positive value of x where x² = 49,7.0
37,geometry,What is the area of a triangle with base 40 and height 11?,220.0
38,algebra,Solve for x: 10x + -5 = -75,-7.0
39,percentage,Increase 93 by 25%,116.25
40,geometry,What is the area of a rectangle with width 27 and height 22?,594.0
41,algebra,Solve for x: 4x + -1 = 35,9.0
42,arithmetic,Calculate 29 - 4,25.0
43,geometry,"What is the volume of a rectangular prism with length 9, width 1, and height 9?",81.0
44,geometry,What is the area of a triangle with base 33 and height 36?,594.0
45,arithmetic,What is 51 × 17?,867.0
46,word_problems,Sarah has $331. She spends $271. How much money does she have left?,60.0
47,geometry,What is the volume of a cube with side length 10?,1000.0
48,geometry,What is the circumference of a circle with radius 13? (use π ≈ 3.14),81.64
49,fractions,What is 4/10 of 73?,29.2
50,fractions,What is 3/4 × 4? (decimal form),3.0
51,geometry,What is the area of a triangle with base 34 and height 19?,323.0
52,arithmetic,Calculate 25 - 69,-44.0
53,geometry,What is the volume of a cube with side length 1?,1.0
54,fractions,What is 8/10 + 3/10? (decimal form),1.1
55,percentage,Decrease 117 by 50%,58.5
56,word_problems,Sarah has $462. She spends $101. How much money does she have left?,361.0
57,fractions,What is 3/4 of 72?,54.0
58,word_problems,A car travels at 62 km/h for 5 hours. What distance does it cover?,310.0
59,algebra,"If x + y = 12 and x - y = 6, what is x?",9.0
60,arithmetic,Divide 196 by 4,49.0
61,arithmetic,Calculate 88 - 82,6.0
62,geometry,What is the area of a triangle with base 31 and height 3?,46.5
63,arithmetic,What is (36 + 35) × 6?,426.0
64,algebra,"If x + y = 16 and x - y = 0, what is x?",8.0
65,word_problems,A meeting starts at 9:00 and lasts 6 hours. At what hour does it end? (24-hour format),15.0
66,algebra,Find the positive value of x where x² = 64,8.0
67,arithmetic,Calculate 95 - 57,38.0
68,geometry,What is the area of a triangle with base 36 and height 28?,504.0
69,fractions,What is 1/2 of 182?,91.0
70,fractions,What is 2/10 of 184?,36.8
71,algebra,"If x + y = 7 and x - y = -3, what is x?",2.0
72,percentage,What is 45% of 133?,59.85
73,percentage,Increase 125 by 25%,156.25
74,percentage,Decrease 191 by 10%,171.9
75,percentage,What is 68% of 271?,184.28
76,geometry,What is the area of a circle with radius 15? (use π ≈ 3.14),706.5
77,fractions,What is 4/5 + 3/5? (decimal form),1.4
